Cylinders,Displacement,Horsepower,Weight,Acceleration,Brand,Car_name
8,390.0,190.0,3850,8.5,amc,ambassador_dpl
8,383.0,170.0,3563,10.0,dodge,challenger_se
8,340.0,160.0,3609,8.0,plymouth,cuda_340
8,400.0,150.0,3761,9.5,chevrolet,monte_carlo
8,455.0,225.0,3086,10.0,buick,estate_wagon_sw
4,113.0,95.00,2372,15.0,toyota,corona_mark_ii
6,198.0,95.00,2833,15.5,plymouth,duster
6,199.0,97.00,2774,15.5,amc,hornet
6,200.0,85.00,2587,16.0,ford,maverick
4,97.00,88.00,2130,14.5,datsun,pl510
4,97.00,46.00,1835,20.5,volkswagen,1131_deluxs_sedan
4,110.0,87.00,2672,17.5,peugeot,504
4,107.0,90.00,2430,14.5,audi,100
4,104.0,95.00,2375,17.5,saab,99e
4,121.0,113.0,2234,12.5,bmw,2002
6,199.0,90.00,2648,15.0,amc,gremlin
8,360.0,215.0,4615,14.0,ford,f250
8,307.0,200.0,4376,15.0,chevrolet,c20
8,318.0,210.0,4382,13.5,dodge,d200
8,304.0,193.0,4732,18.5,honda,1200d
4,97.00,88.00,2130,14.5,datsun,pl510
4,140.0,90.00,2264,15.5,chevrolet,vega_2300
4,113.0,95.00,2228,14.0,toyota,corona
6,232.0,100.0,2634,13.0,amc,gremlin
6,225.0,105.0,3439,15.5,plymouth,satellite_custom
6,250.0,100.0,3329,15.5,chevrolet,chevelle_malibu
6,250.0,88.00,3302,15.5,ford,torino_500
6,232.0,100.0,3288,15.5,amc,matador
8,350.0,165.0,4209,12.0,chevrolet,impala
8,400.0,175.0,4464,11.5,pontiac,catalina_b
8,351.0,153.0,4154,13.5,ford,galaxie_500
8,318.0,150.0,4096,13.0,plymouth,fury_III
8,383.0,180.0,4955,11.5,dodge,monaco
8,400.0,170.0,4746,12.0,ford,country_squire
8,400.0,175.0,5140,12.0,pontiac,safari
6,258.0,110.0,2962,13.5,amc,hornet_sportabout
4,140.0,72.00,2408,19.0,chevrolet,vega
6,250.0,100.0,3282,15.0,pontiac,firebird
6,250.0,88.00,3139,14.5,ford,mustang
4,122.0,86.00,2220,14.0,mercury,capri_2000
4,116.0,90.00,2123,14.0,opel,1900
4,79.00,70.00,2074,19.5,peugeot,304
4,88.00,76.00,2065,14.5,fiat,124b
4,71.00,65.00,1773,19.0,toyota,corolla_1200
4,72.00,69.00,1613,18.0,datsun,1200
4,97.00,60.00,1834,19.0,volkswagen,model_111
4,91.00,70.00,1955,20.5,plymouth,cricket
4,113.0,95.00,2278,15.5,toyota,corona_hardtop
4,97.50,80.00,2126,17.0,dodge,colt_hardtop
4,97.00,54.00,2254,23.5,volkswagen,type_3
